KK & S_RR & S_HC & S_SA & P_RR & P_HC & P_SA \\ 
347837 & 284705107 & 31888933 & 39089847 & 369 & 77 & 787 \\ 
211207 & 759049385 & 360986515 & 15452769 & 173 & 1817 & 179 \\ 
27680 & 31336316 & 88325104 & 40212742 & 20 & 1602 & 230 \\ 
456544 & 10366930 & 527190574 & 108408656 & 64 & 830 & 156 \\ 
192098 & 626849010 & 24380470 & 13338730 & 162 & 584 & 12 \\ 
3034 & 281000988 & 692606866 & 645901094 & 90 & 758 & 296 \\ 
284101 & 857104301 & 481709237 & 364632469 & 7 & 427 & 215 \\ 
13408 & 174969532 & 390882180 & 491507214 & 334 & 614 & 14 \\ 
151509 & 177986003 & 273667719 & 206441035 & 135 & 35 & 45 \\ 
198104 & 178665618 & 1012139578 & 746057980 & 286 & 232 & 22 \\ 
38021 & 83794683 & 287625369 & 383020399 & 15 & 13 & 69 \\ 
98075 & 64634735 & 306122631 & 306122631 & 393 & 25 & 71 \\ 
165638 & 169945784 & 880908120 & 5154864 & 286 & 462 & 70 \\ 
29965 & 56972737 & 105242817 & 115160351 & 37 & 51 & 195 \\ 
376697 & 1947107615 & 98426645 & 147353573 & 145 & 3 & 45 \\ 
61026 & 291414044 & 18706496 & 128513390 & 146 & 114 & 402 \\ 
195883 & 461174213 & 334328521 & 152379433 & 317 & 759 & 207 \\ 
22824 & 391734850 & 781069200 & 133205156 & 148 & 14 & 276 \\ 
1146206 & 131397704 & 116406838 & 258770170 & 42 & 84 & 332 \\ 
259 & 19729521 & 54175413 & 292582675 & 41 & 737 & 129 \\ 
1273 & 146838757 & 37152193 & 291364867 & 57 & 33 & 195 \\ 
577835 & 82664203 & 435248781 & 40515935 & 323 & 829 & 193 \\ 
303864 & 145883752 & 858989288 & 442772294 & 108 & 560 & 28 \\ 
155092 & 246021374 & 42239934 & 95662736 & 508 & 162 & 312 \\ 
67678 & 270398728 & 207273886 & 634675748 & 308 & 986 & 8 \\ 
166733 & 333398869 & 120265307 & 9556279 & 457 & 1563 & 925 \\ 
25265 & 94830047 & 258093373 & 39335071 & 63 & 103 & 289 \\ 
173074 & 208094288 & 48398770 & 18696988 & 310 & 682 & 394 \\ 
219470 & 128366092 & 96563848 & 93892122 & 180 & 800 & 10 \\ 
903926 & 2160271122 & 585147138 & 277619866 & 272 & 514 & 128 \\ 
94539 & 667612613 & 34530061 & 286426681 & 125 & 109 & 483 \\ 
89969 & 156485757 & 5433267 & 159629727 & 89 & 2389 & 163 \\ 
173079 & 68845175 & 228102941 & 12668973 & 201 & 279 & 97 \\ 
320913 & 740622519 & 320836403 & 120610581 & 67 & 523 & 277 \\ 
347334 & 1012505392 & 29257926 & 745378904 & 90 & 10 & 6 \\ 
136830 & 32491794 & 47785718 & 137480080 & 232 & 102 & 582 \\ 
211611 & 209958169 & 39842199 & 110879085 & 9 & 417 & 123 \\ 
164405 & 956907595 & 624068367 & 142906655 & 69 & 2967 & 97 \\ 
192760 & 11886026 & 189055398 & 77485130 & 116 & 100 & 94 \\ 
421365 & 559405355 & 1207527927 & 291066987 & 17 & 3 & 177 \\ 
56715 & 26651097 & 642516357 & 277224759 & 123 & 1723 & 9 \\ 
126346 & 272689890 & 92129384 & 391271870 & 8 & 2070 & 38 \\ 
137120 & 19845616 & 110958842 & 1009490924 & 190 & 236 & 8 \\ 
112808 & 36099204 & 1441947484 & 692868022 & 136 & 30 & 44 \\ 
133950 & 702594612 & 77492280 & 240831864 & 60 & 574 & 686 \\ 
93080 & 56360482 & 69657876 & 139504488 & 466 & 1126 & 300 \\ 
2943089 & 193086283 & 579324379 & 39527133 & 57 & 47 & 13 \\ 
112908 & 291150222 & 618950122 & 162383120 & 468 & 694 & 26 \\ 
747246 & 544933490 & 578411598 & 84184302 & 8 & 312 & 222 \\ 
359412 & 318165356 & 220546342 & 150477834 & 46 & 152 & 206 \\ 
