KK & S_RR & S_HC & S_SA & P_RR & P_HC & P_SA \\ 
204705 & 563933735 & 827139553 & 568226419 & 133 & 211 & 177 \\ 
64496 & 408894636 & 296371326 & 82279156 & 54 & 852 & 206 \\ 
129920 & 448334034 & 11032356 & 21474670 & 236 & 256 & 36 \\ 
104853 & 429484341 & 46448445 & 154088529 & 11 & 709 & 405 \\ 
13808 & 46297424 & 191805150 & 596885672 & 260 & 376 & 306 \\ 
443933 & 135679639 & 349415257 & 351502229 & 245 & 863 & 167 \\ 
15369 & 314015615 & 56540867 & 456132861 & 355 & 841 & 17 \\ 
282308 & 115072878 & 21981180 & 175177502 & 118 & 620 & 266 \\ 
135463 & 329267937 & 240057257 & 79125891 & 125 & 3 & 77 \\ 
156993 & 258124239 & 504064421 & 80415143 & 281 & 201 & 65 \\ 
194679 & 480441431 & 257682511 & 1272480911 & 3 & 1081 & 323 \\ 
123541 & 245281397 & 278778115 & 671078281 & 165 & 519 & 435 \\ 
75192 & 277850914 & 405598660 & 200926324 & 528 & 80 & 84 \\ 
91962 & 67768864 & 60057368 & 67588478 & 30 & 42 & 12 \\ 
342773 & 1415712527 & 902889511 & 103787029 & 49 & 2423 & 765 \\ 
83221 & 260462623 & 26772433 & 144435101 & 203 & 1001 & 87 \\ 
5031 & 231826543 & 155070095 & 29370569 & 103 & 3945 & 379 \\ 
290627 & 387868263 & 365978455 & 585991047 & 263 & 1133 & 161 \\ 
2175311 & 1163243741 & 61534719 & 260307147 & 79 & 923 & 117 \\ 
32991 & 15945163 & 551773567 & 99451701 & 95 & 615 & 35 \\ 
20180 & 184919294 & 498382424 & 611483666 & 146 & 434 & 524 \\ 
158192 & 155116152 & 100451422 & 167589078 & 70 & 2228 & 18 \\ 
128115 & 66802367 & 372781121 & 87058645 & 59 & 9 & 357 \\ 
137016 & 62580536 & 260455566 & 3158194 & 12 & 606 & 426 \\ 
5981 & 17116131 & 304050797 & 214900215 & 261 & 2341 & 807 \\ 
234397 & 468786979 & 346438625 & 170069753 & 107 & 29 & 23 \\ 
324260 & 67438096 & 40887412 & 196808726 & 40 & 896 & 372 \\ 
86395 & 506379819 & 212499841 & 359885227 & 21 & 139 & 69 \\ 
202349 & 264350683 & 957933033 & 259448809 & 29 & 195 & 23 \\ 
32016 & 126580748 & 46219306 & 276139810 & 138 & 632 & 378 \\ 
207432 & 155403676 & 574382430 & 50543340 & 88 & 96 & 486 \\ 
17820 & 281866358 & 201680804 & 342194272 & 450 & 280 & 192 \\ 
37967 & 325723081 & 626308969 & 390684043 & 635 & 329 & 1 \\ 
270210 & 82909460 & 271681462 & 2030608880 & 2 & 46 & 222 \\ 
2237312 & 287100536 & 1403657978 & 331283484 & 148 & 3108 & 260 \\ 
82576 & 555206332 & 878478522 & 182803452 & 252 & 264 & 402 \\ 
96937 & 495703437 & 330524105 & 151260175 & 415 & 161 & 661 \\ 
671546 & 159707960 & 36273960 & 645353106 & 88 & 4458 & 252 \\ 
108474 & 193938246 & 91003812 & 360428620 & 236 & 554 & 92 \\ 
189242 & 100129896 & 577065274 & 252613010 & 102 & 48 & 462 \\ 
208583 & 165168907 & 536289077 & 79353855 & 35 & 591 & 193 \\ 
4060 & 717978242 & 362091010 & 33999864 & 40 & 484 & 322 \\ 
101580 & 49935224 & 145184560 & 418059034 & 186 & 880 & 256 \\ 
235081 & 22264501 & 60943931 & 16263371 & 31 & 499 & 381 \\ 
126714 & 573425104 & 69290750 & 258181316 & 106 & 968 & 100 \\ 
536202 & 198043978 & 307128320 & 121581192 & 198 & 1106 & 352 \\ 
182151 & 286603867 & 2923621663 & 512205181 & 5 & 5415 & 271 \\ 
33984 & 237454892 & 559414 & 146556608 & 80 & 62 & 508 \\ 
147909 & 127582147 & 202515645 & 222258871 & 129 & 89 & 1129 \\ 
569451 & 66733277 & 241071349 & 14392213 & 171 & 1945 & 1 \\ 
26165 & 83648233 & 384555063 & 166753993 & 11 & 161 & 287 \\ 
198643 & 312316777 & 154338327 & 211391145 & 105 & 185 & 35 \\ 
47106 & 346530734 & 128011104 & 13066912 & 128 & 3664 & 346 \\ 
89666 & 355209350 & 10073500 & 151129198 & 104 & 514 & 240 \\ 
131295 & 28402535 & 174810935 & 203419727 & 13 & 765 & 235 \\ 
