KK & S_RR & S_HC & S_SA & P_RR & P_HC & P_SA \\ 
0.000242 & 0.447310 & 0.838707 & 1.084131 & 3.972693 & 3.894550 & 3.979950 \\ 
0.000090 & 0.380679 & 0.719176 & 0.995157 & 3.672891 & 3.753349 & 4.133479 \\ 
0.000091 & 0.428740 & 0.776397 & 0.965915 & 3.579363 & 3.927413 & 3.852490 \\ 
0.000089 & 0.369780 & 0.718624 & 0.880602 & 3.614104 & 3.700447 & 3.843741 \\ 
0.000174 & 0.371159 & 0.717149 & 0.880578 & 3.648193 & 3.720077 & 3.920257 \\ 
0.000089 & 0.379075 & 0.710523 & 0.907524 & 3.695913 & 3.726289 & 3.853953 \\ 
0.000128 & 0.366956 & 0.710146 & 0.867105 & 3.615964 & 3.795329 & 3.973119 \\ 
0.000091 & 0.413414 & 0.813828 & 0.905544 & 3.691906 & 3.853977 & 3.892107 \\ 
0.000090 & 0.381971 & 0.718472 & 0.891921 & 3.712992 & 3.751686 & 3.840043 \\ 
0.000102 & 0.381716 & 0.705816 & 0.875812 & 3.660755 & 3.818701 & 4.120861 \\ 
0.000090 & 0.392023 & 0.793706 & 0.911751 & 3.769069 & 3.830505 & 3.949438 \\ 
0.000091 & 0.383548 & 0.729131 & 0.899065 & 3.610290 & 3.791238 & 3.928173 \\ 
0.000090 & 0.383550 & 0.744063 & 0.943171 & 3.820841 & 3.994850 & 4.152082 \\ 
0.000091 & 0.420714 & 0.743129 & 0.956252 & 3.878951 & 3.935631 & 4.096478 \\ 
0.000089 & 0.389745 & 0.735720 & 0.896886 & 3.678898 & 3.882482 & 4.045306 \\ 
0.000090 & 0.369865 & 0.778613 & 0.942258 & 3.646093 & 3.764774 & 4.064901 \\ 
0.000091 & 0.384069 & 0.719316 & 0.901455 & 3.660083 & 3.709452 & 3.851946 \\ 
0.000091 & 0.376817 & 0.710644 & 0.868358 & 3.752654 & 3.736382 & 3.859969 \\ 
0.000090 & 0.397927 & 0.742567 & 0.881974 & 3.685717 & 3.954619 & 4.144877 \\ 
0.000091 & 0.388217 & 0.736038 & 0.927714 & 3.665903 & 3.784115 & 3.879361 \\ 
0.000090 & 0.382430 & 0.726830 & 0.898186 & 3.677038 & 3.752479 & 3.880407 \\ 
0.000090 & 0.381933 & 0.755432 & 0.894595 & 3.692456 & 3.794987 & 4.007633 \\ 
0.000091 & 0.417581 & 0.782629 & 0.993202 & 3.717692 & 3.997942 & 3.981384 \\ 
0.000090 & 0.385321 & 0.733333 & 0.958386 & 3.641567 & 3.896587 & 4.071765 \\ 
0.000089 & 0.383742 & 0.727569 & 0.917903 & 3.668560 & 3.798656 & 3.985507 \\ 
0.000090 & 0.389512 & 0.714241 & 0.883822 & 3.621661 & 3.717304 & 3.994931 \\ 
0.000131 & 0.373896 & 0.721545 & 0.875838 & 3.662355 & 4.065486 & 4.575683 \\ 
0.000089 & 0.409439 & 0.875460 & 0.971135 & 3.757119 & 3.801431 & 3.907453 \\ 
0.000095 & 0.374356 & 0.719872 & 0.910469 & 3.657007 & 3.732468 & 3.906217 \\ 
0.000099 & 0.371311 & 0.760098 & 0.884536 & 3.625379 & 3.705367 & 3.842208 \\ 
0.000096 & 0.379133 & 0.700905 & 0.882142 & 3.939416 & 3.710159 & 3.828378 \\ 
0.000089 & 0.369729 & 0.706402 & 0.925354 & 3.736548 & 3.787974 & 3.889533 \\ 
0.000091 & 0.378718 & 0.704036 & 0.874247 & 3.603833 & 3.707588 & 3.841192 \\ 
0.000091 & 0.372980 & 0.708408 & 0.875335 & 3.651998 & 3.762869 & 3.847822 \\ 
0.000091 & 0.373746 & 0.708052 & 0.876087 & 3.592775 & 3.684703 & 3.860846 \\ 
0.000091 & 0.380288 & 0.705966 & 0.866325 & 3.587062 & 3.750171 & 3.873682 \\ 
0.000103 & 0.378916 & 0.710665 & 0.890563 & 3.652630 & 3.722615 & 3.904067 \\ 
0.000176 & 0.410251 & 0.799617 & 0.942805 & 3.674582 & 3.766865 & 4.080856 \\ 
0.000116 & 0.422163 & 0.836687 & 0.933555 & 3.608087 & 3.670974 & 3.860072 \\ 
0.000091 & 0.376895 & 0.725453 & 0.883647 & 3.655703 & 3.852405 & 3.857696 \\ 
0.000091 & 0.367139 & 0.710258 & 0.980008 & 3.793803 & 3.716480 & 3.970677 \\ 
0.000096 & 0.373175 & 0.736881 & 0.904912 & 3.735588 & 3.717839 & 4.099099 \\ 
0.000266 & 0.409870 & 0.797497 & 0.902750 & 4.203064 & 4.153721 & 3.869138 \\ 
0.000091 & 0.382627 & 0.729972 & 0.877302 & 3.587983 & 3.710811 & 3.780826 \\ 
0.000089 & 0.377787 & 0.702916 & 0.872298 & 3.557943 & 3.750752 & 3.953913 \\ 
0.000091 & 0.372192 & 0.709368 & 0.868059 & 3.772427 & 3.828813 & 4.211636 \\ 
0.000091 & 0.423045 & 0.851883 & 1.079364 & 3.977516 & 4.069371 & 3.977452 \\ 
0.000096 & 0.369095 & 0.714725 & 0.929992 & 3.691390 & 3.671356 & 3.823269 \\ 
0.000090 & 0.371922 & 0.728041 & 0.871063 & 3.613235 & 3.695415 & 3.874038 \\ 
0.000099 & 0.400797 & 0.720624 & 0.894851 & 3.623073 & 3.968560 & 4.098599 \\ 
0.000090 & 0.365427 & 0.699273 & 0.940872 & 3.953401 & 3.860295 & 3.965074 \\ 
0.000103 & 0.465850 & 0.728494 & 0.906305 & 3.836423 & 3.865495 & 3.978769 \\ 
0.000091 & 0.392807 & 0.872480 & 1.450154 & 4.448650 & 3.895176 & 3.927647 \\ 
0.000091 & 0.379151 & 0.930182 & 1.402747 & 5.778139 & 5.622531 & 4.038882 \\ 
0.000103 & 0.377690 & 0.780133 & 0.904116 & 3.614196 & 3.671895 & 3.872725 \\ 
0.000097 & 0.380249 & 0.733204 & 0.872211 & 3.594405 & 4.024983 & 4.300013 \\ 
0.000094 & 0.381903 & 0.698504 & 0.874806 & 3.590808 & 3.660978 & 3.869476 \\ 
0.000092 & 0.370071 & 0.767291 & 0.887595 & 3.633590 & 3.670734 & 3.870010 \\ 
0.000100 & 0.382037 & 0.721860 & 0.875153 & 3.610906 & 3.883937 & 3.992689 \\ 
0.000095 & 0.440242 & 1.147723 & 1.472822 & 4.507153 & 4.008081 & 4.004428 \\ 
0.000121 & 0.378238 & 0.728300 & 0.894233 & 3.860412 & 4.103662 & 4.900993 \\ 
0.000198 & 0.462394 & 0.878500 & 1.067282 & 3.995872 & 3.723356 & 3.857963 \\ 
0.000089 & 0.370197 & 0.712436 & 0.868403 & 3.873211 & 3.838586 & 3.883441 \\ 
0.000091 & 0.369705 & 0.713866 & 0.904877 & 3.819245 & 4.055412 & 4.071150 \\ 
0.000090 & 0.378550 & 0.743441 & 0.976867 & 3.786837 & 3.885453 & 3.983292 \\ 
0.000179 & 0.399028 & 0.753530 & 0.996207 & 3.851257 & 3.932346 & 3.865956 \\ 
0.000090 & 0.365464 & 0.711934 & 0.880504 & 3.622528 & 3.699087 & 3.842510 \\ 
0.000090 & 0.379115 & 0.706229 & 0.879046 & 3.626589 & 3.775242 & 3.864196 \\ 
0.000090 & 0.374496 & 0.712119 & 0.887419 & 3.606334 & 3.673106 & 3.804861 \\ 
0.000091 & 0.387788 & 0.712694 & 0.871827 & 3.648863 & 3.696290 & 3.923799 \\ 
0.000090 & 0.373048 & 0.704959 & 0.882119 & 3.636526 & 3.731740 & 3.960632 \\ 
0.000089 & 0.383981 & 0.720211 & 0.879116 & 3.689740 & 3.794161 & 3.855437 \\ 
0.000089 & 0.367759 & 0.748532 & 0.883331 & 3.639513 & 3.735172 & 3.823745 \\ 
0.000091 & 0.365016 & 0.901711 & 1.008787 & 3.684667 & 3.761667 & 3.882134 \\ 
0.000091 & 0.381361 & 0.716576 & 0.888618 & 3.735430 & 3.736663 & 3.802558 \\ 
0.000091 & 0.361857 & 0.701743 & 0.855538 & 3.644991 & 3.740223 & 3.816539 \\ 
0.000091 & 0.371483 & 0.707797 & 0.864730 & 3.614289 & 3.731620 & 4.209743 \\ 
0.000091 & 0.377671 & 0.713818 & 0.961914 & 3.772805 & 3.714865 & 3.809242 \\ 
0.000089 & 0.379124 & 0.704354 & 0.876020 & 3.585928 & 3.688669 & 3.860265 \\ 
0.000090 & 0.370555 & 0.707718 & 0.864535 & 3.625359 & 3.684742 & 3.832784 \\ 
0.000091 & 0.373561 & 0.700205 & 0.866311 & 3.582485 & 3.679710 & 3.805706 \\ 
0.000090 & 0.367024 & 0.697331 & 0.906425 & 3.634544 & 3.728929 & 3.832212 \\ 
0.000091 & 0.378136 & 0.716185 & 0.866552 & 3.573847 & 3.702378 & 3.811101 \\ 
0.000089 & 0.370704 & 0.724352 & 0.885041 & 3.645223 & 3.725114 & 3.864684 \\ 
0.000102 & 0.374755 & 0.704717 & 0.863008 & 3.633970 & 3.674616 & 3.813436 \\ 
0.000091 & 0.374380 & 0.701965 & 0.884001 & 3.615459 & 3.736468 & 3.897062 \\ 
0.000090 & 0.373099 & 0.710719 & 0.872483 & 3.584638 & 3.671971 & 3.802381 \\ 
0.000090 & 0.373576 & 0.719444 & 0.859867 & 3.617180 & 3.737136 & 3.837335 \\ 
0.000090 & 0.375054 & 0.714033 & 0.900206 & 3.610708 & 3.672906 & 3.835149 \\ 
0.000092 & 0.364760 & 0.697590 & 0.855649 & 3.548924 & 3.674822 & 3.818615 \\ 
0.000091 & 0.366546 & 0.708896 & 0.854962 & 3.662193 & 3.727798 & 3.861984 \\ 
0.000090 & 0.373329 & 0.732532 & 0.867724 & 3.581586 & 3.877268 & 3.846182 \\ 
0.000090 & 0.377013 & 0.718937 & 0.877696 & 3.623008 & 3.786701 & 3.813393 \\ 
0.000090 & 0.366640 & 0.707288 & 0.877390 & 3.568941 & 3.688367 & 3.856852 \\ 
0.000090 & 0.370331 & 0.722291 & 0.870563 & 3.592801 & 3.706201 & 3.899352 \\ 
0.000091 & 0.389400 & 0.710389 & 0.867343 & 3.654075 & 3.744540 & 4.132634 \\ 
0.000090 & 0.380229 & 0.719345 & 0.880413 & 3.648159 & 3.698324 & 3.836133 \\ 
0.000091 & 0.364176 & 0.738424 & 0.869316 & 3.624049 & 3.703513 & 3.814360 \\ 
0.000090 & 0.374865 & 0.777290 & 0.902499 & 3.637613 & 3.733829 & 3.840880 \\ 
0.000103 & 0.371016 & 0.716248 & 0.874421 & 3.617247 & 3.738308 & 3.798823 \\ 
0.000100 & 0.383581 & 0.742049 & 0.919819 & 3.721575 & 3.805631 & 3.937277
