KK & S_RR & S_HC & S_SA & P_RR & P_HC & P_SA \\ 
0.000192 & 0.485571 & 0.905582 & 1.089473 & 4.132814 & 4.187439 & 4.608412 \\ 
0.000290 & 0.413339 & 0.750041 & 1.004925 & 4.085837 & 4.017511 & 4.874769 \\ 
0.000171 & 0.672082 & 0.799668 & 0.888940 & 4.015529 & 4.351326 & 4.135803 \\ 
0.000103 & 0.388048 & 0.762124 & 0.973792 & 3.950748 & 5.431001 & 4.787837 \\ 
0.000255 & 0.520719 & 0.850233 & 0.950992 & 4.292482 & 4.107491 & 4.718656 \\ 
0.000104 & 0.471432 & 0.779287 & 0.943127 & 4.412044 & 4.492315 & 4.255181 \\ 
0.000107 & 0.420412 & 0.749962 & 0.999046 & 4.313526 & 4.064837 & 4.492799 \\ 
0.000103 & 0.391837 & 0.809587 & 0.997365 & 4.102667 & 4.119761 & 4.794176 \\ 
0.000118 & 0.423640 & 1.125479 & 1.147232 & 5.182300 & 4.153375 & 4.167003 \\ 
0.000103 & 0.394207 & 0.775145 & 0.937413 & 4.267802 & 4.293217 & 4.295405 \\ 
0.000106 & 0.410389 & 0.757008 & 0.897579 & 4.024687 & 4.296606 & 4.232371 \\ 
0.000102 & 0.389861 & 0.738870 & 1.011851 & 3.983810 & 4.012643 & 4.399207 \\ 
0.000106 & 0.462477 & 0.803712 & 1.065188 & 4.542354 & 4.645634 & 4.734318 \\ 
0.000102 & 0.448619 & 0.999299 & 1.402906 & 4.292258 & 4.031602 & 4.617130 \\ 
0.000111 & 0.477095 & 0.959180 & 0.926993 & 3.923934 & 4.260373 & 4.469428 \\ 
0.000109 & 0.399199 & 0.863964 & 1.181427 & 3.981358 & 4.064121 & 4.472773 \\ 
0.000102 & 0.443543 & 0.734028 & 0.925241 & 3.983585 & 4.445823 & 4.213905 \\ 
0.000110 & 0.393064 & 0.744252 & 1.071303 & 4.361370 & 4.118095 & 4.327916 \\ 
0.000102 & 0.407123 & 0.812349 & 1.155249 & 4.061325 & 4.172411 & 4.326416 \\ 
0.000110 & 0.448837 & 0.772174 & 1.293446 & 4.302035 & 4.190334 & 4.373345 \\ 
0.000131 & 0.437898 & 0.885798 & 0.978233 & 3.984632 & 4.107504 & 4.605005 \\ 
0.000103 & 0.455052 & 0.769586 & 1.052438 & 4.078476 & 4.078381 & 4.485779 \\ 
0.000157 & 0.396700 & 0.736585 & 0.895875 & 4.099154 & 4.227327 & 4.423784 \\ 
0.000107 & 0.403816 & 0.867969 & 0.955781 & 4.343749 & 4.439071 & 4.341428 \\ 
0.000103 & 0.391190 & 0.719140 & 0.897193 & 4.150035 & 4.218703 & 4.433458 \\ 
0.000104 & 0.490371 & 0.874816 & 1.072438 & 4.336693 & 4.422405 & 4.402012 \\ 
0.000182 & 0.402699 & 0.773067 & 0.943923 & 4.028158 & 4.207659 & 4.536841 \\ 
0.000102 & 0.409287 & 0.758340 & 0.918159 & 4.185653 & 4.426682 & 4.433844 \\ 
0.000102 & 0.439017 & 1.021837 & 1.147461 & 4.874203 & 4.735962 & 5.011658 \\ 
0.000159 & 0.536903 & 1.143429 & 1.266739 & 4.435754 & 4.284080 & 4.239087 \\ 
0.000110 & 0.405121 & 0.738628 & 1.017524 & 4.055484 & 4.296899 & 4.320228 \\ 
0.000102 & 0.404182 & 0.748250 & 0.921174 & 4.114713 & 4.140217 & 4.271210 \\ 
0.000107 & 0.397643 & 0.753882 & 0.914899 & 4.012945 & 4.183778 & 4.277486 \\ 
0.000103 & 0.397361 & 0.744284 & 0.918251 & 4.026929 & 4.091084 & 4.292568 \\ 
0.000172 & 0.403604 & 0.730317 & 0.917697 & 4.006349 & 4.152753 & 4.272367 \\ 
0.000109 & 0.398252 & 0.757046 & 0.904087 & 4.006920 & 4.270026 & 4.334875 \\ 
0.000117 & 0.397095 & 0.751334 & 0.921739 & 3.982677 & 4.117726 & 4.268531 \\ 
0.000172 & 0.400160 & 0.745524 & 0.926578 & 4.007552 & 4.156108 & 4.259848 \\ 
0.000103 & 0.393428 & 0.759922 & 0.913995 & 3.978239 & 4.146960 & 4.322810 \\ 
0.000102 & 0.416495 & 0.741493 & 0.932255 & 4.009847 & 4.216908 & 4.286099 \\ 
0.000148 & 0.396815 & 0.741723 & 0.920614 & 3.989354 & 4.118168 & 4.313917 \\ 
0.000116 & 0.395077 & 0.752711 & 0.903396 & 4.027349 & 4.179761 & 4.258856 \\ 
0.000138 & 0.396733 & 0.735859 & 0.920109 & 4.015523 & 4.099574 & 4.249615 \\ 
0.000118 & 0.404202 & 0.741629 & 0.939012 & 4.054694 & 6.653211 & 4.267996 \\ 
0.000117 & 0.404991 & 0.745742 & 0.917168 & 4.010445 & 4.125708 & 8.627968 \\ 
0.000103 & 0.431894 & 0.833306 & 1.092760 & 7.913471 & 4.205441 & 7.621388 \\ 
0.000120 & 0.500129 & 0.905744 & 1.153991 & 7.245206 & 7.013062 & 4.143102 \\ 
0.000117 & 0.379733 & 0.718560 & 0.872665 & 3.970231 & 5.077020 & 9.722672 \\ 
0.000141 & 0.454877 & 0.872489 & 1.100574 & 6.248605 & 10.276475 & 4.079276 \\ 
0.000105 & 0.375384 & 0.697100 & 1.199946 & 7.266747 & 3.926533 & 7.149562 \\ 
0.000106 & 0.371685 & 0.701021 & 0.861063 & 7.256727 & 4.213198 & 6.695660 \\ 
0.000261 & 0.959079 & 1.838947 & 0.894085 & 4.847623 & 10.007975 & 10.456335 \\ 
0.000260 & 0.937247 & 1.794041 & 2.196340 & 9.622037 & 9.872355 & 10.349520 \\ 
0.000261 & 0.939175 & 1.762109 & 2.337221 & 4.247621 & 3.966781 & 4.053935 \\ 
0.000102 & 0.380401 & 0.706904 & 0.863985 & 3.879689 & 4.221901 & 4.250907 \\ 
0.000103 & 0.482279 & 0.779763 & 0.984708 & 4.313365 & 4.264298 & 4.963283 \\ 
0.000107 & 0.506297 & 1.008570 & 1.254738 & 4.043045 & 4.112182 & 4.597879 \\ 
0.000113 & 0.387548 & 0.711861 & 0.881700 & 4.226771 & 4.045532 & 4.128133 \\ 
0.000104 & 0.381954 & 0.706674 & 0.986224 & 4.085404 & 4.290826 & 4.715059 \\ 
0.000103 & 0.444188 & 0.805180 & 0.880536 & 3.834047 & 3.909411 & 4.059746 \\ 
0.000122 & 0.379525 & 0.729131 & 0.903056 & 3.971987 & 4.065139 & 4.173753 \\ 
0.000102 & 0.381305 & 0.701410 & 0.855264 & 3.774918 & 3.903269 & 4.058241 \\ 
0.000102 & 0.374166 & 0.701075 & 0.866374 & 3.831349 & 3.940839 & 4.032896 \\ 
0.000108 & 0.376146 & 0.705286 & 0.858679 & 3.781843 & 4.032568 & 4.396215 \\ 
0.000101 & 0.375219 & 0.735104 & 0.926333 & 3.921982 & 4.001606 & 4.323185 \\ 
0.000103 & 0.395495 & 0.742430 & 0.913695 & 3.946825 & 4.020754 & 4.094313 \\ 
0.000103 & 0.383629 & 0.701468 & 0.861905 & 3.836136 & 3.967486 & 4.093076 \\ 
0.000103 & 0.383149 & 0.705205 & 0.858963 & 3.891275 & 3.910696 & 4.166443 \\ 
0.000103 & 0.379379 & 0.729541 & 0.846979 & 3.798883 & 4.041404 & 4.145231 \\ 
0.000101 & 0.382499 & 0.706180 & 0.857865 & 3.851500 & 4.019660 & 4.142490 \\ 
0.000200 & 0.390208 & 0.722986 & 0.898088 & 4.026151 & 4.099424 & 4.417694 \\ 
0.000102 & 0.402442 & 0.750303 & 0.967736 & 3.875525 & 4.072253 & 4.201601 \\ 
0.000102 & 0.393608 & 0.738913 & 0.875224 & 3.844546 & 3.973906 & 4.208910 \\ 
0.000103 & 0.390073 & 0.759320 & 0.885085 & 4.144129 & 4.101933 & 4.084046 \\ 
0.000103 & 0.371427 & 0.701869 & 0.862193 & 3.810425 & 3.954510 & 4.430469 \\ 
0.000104 & 0.403303 & 0.717337 & 1.386504 & 4.633235 & 4.552965 & 4.233258 \\ 
0.000102 & 0.426532 & 0.771005 & 0.961830 & 4.404790 & 4.222852 & 4.649618 \\ 
0.000102 & 0.417309 & 0.746877 & 1.536099 & 5.355459 & 4.171630 & 4.085557 \\ 
0.000163 & 0.375785 & 0.696660 & 0.907833 & 4.122112 & 4.367778 & 4.247632 \\ 
0.000102 & 0.399418 & 0.743663 & 0.902323 & 4.017639 & 4.118043 & 4.268236 \\ 
0.000201 & 0.392291 & 0.747600 & 0.965389 & 4.032336 & 4.143291 & 4.432961 \\ 
0.000186 & 0.407473 & 0.753065 & 0.915188 & 3.927498 & 4.037590 & 4.182445 \\ 
0.000102 & 0.388221 & 0.732198 & 0.921977 & 4.032884 & 4.148380 & 4.308040 \\ 
0.000111 & 0.388386 & 0.761490 & 0.921021 & 3.946119 & 4.124452 & 4.295362 \\ 
0.000102 & 0.395819 & 0.791613 & 0.922609 & 3.996541 & 4.139151 & 4.379094 \\ 
0.000116 & 0.416322 & 0.757414 & 0.941135 & 4.043529 & 4.122976 & 4.298424 \\ 
0.000103 & 0.413277 & 0.729208 & 0.924230 & 4.070100 & 4.163642 & 4.340954 \\ 
0.000102 & 0.392175 & 0.727573 & 0.890929 & 3.985259 & 4.143585 & 4.269423 \\ 
0.000102 & 0.386826 & 0.756612 & 0.988000 & 4.042376 & 4.160484 & 4.395269 \\ 
0.000102 & 0.388649 & 0.736968 & 0.915490 & 3.955218 & 4.066366 & 4.235068 \\ 
0.000110 & 0.399173 & 0.738267 & 0.937627 & 3.987808 & 4.058891 & 4.247515 \\ 
0.000103 & 0.393669 & 0.751465 & 0.999546 & 3.991175 & 4.009805 & 4.279077 \\ 
0.000112 & 0.411465 & 0.765870 & 0.943329 & 4.052257 & 4.179436 & 4.302138 \\ 
0.000102 & 0.408792 & 0.753417 & 0.899032 & 4.063673 & 4.028169 & 4.181652 \\ 
0.000102 & 0.391828 & 0.723361 & 0.920480 & 4.000407 & 5.181631 & 4.660810 \\ 
0.000103 & 0.457819 & 0.861521 & 1.076978 & 4.251384 & 4.290490 & 4.229991 \\ 
0.000103 & 0.402267 & 0.749863 & 0.932364 & 3.957513 & 4.112041 & 4.284478 \\ 
0.000108 & 0.388248 & 0.733119 & 0.890582 & 3.954636 & 4.303350 & 4.612549 \\ 
0.000102 & 0.403853 & 0.739168 & 0.894040 & 3.985384 & 4.301018 & 4.254371 \\ 
0.000103 & 0.400153 & 0.756604 & 0.915281 & 3.927429 & 4.102200 & 4.227587 \\ 
0.000123 & 0.429748 & 0.806453 & 1.000880 & 4.310728 & 4.423112 & 4.646906
